method,level,variant,cluster_size,log10_cluster_size
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,489.0,2.6893088591236203
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,752.0,2.876217840591642
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1640.0,3.214843848047698
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1315.0,3.1189257528257768
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,352.0,2.546542663478131
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,896.0,2.9523080096621253
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,699.0,2.8444771757456815
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,402.0,2.60422605308447
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,936.0,2.971275848738105
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,468.0,2.670245853074124
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,440.0,2.6434526764861874
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,331.0,2.519827993775719
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,36.0,1.5563025007672873
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,354.0,2.5490032620257876
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,937.0,2.971739590887778
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1343.0,3.1280760126687155
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,557.0,2.745855195173729
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1335.0,3.125481265700594
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,494.0,2.693726948923647
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,411.0,2.6138418218760693
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,768.0,2.885361220031512
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,859.0,2.9339931638312424
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,137.0,2.1367205671564067
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,511.0,2.708420900134713
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,466.0,2.66838591669
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,624.0,2.795184589682424
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1155.0,3.062581984228163
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,390.0,2.591064607026499
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,522.0,2.717670503002262
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,11.0,1.0413926851582251
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,890.0,2.949390006644913
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1766.0,3.24699069924155
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,504.0,2.7024305364455254
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,653.0,2.814913181275074
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,770.0,2.886490725172482
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,282.0,2.450249108319361
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,253.0,2.403120521175818
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1328.0,3.1231980750319988
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,521.0,2.7168377232995247
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1132.0,3.0538464268522527
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,651.0,2.813580988568192
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,896.0,2.9523080096621253
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,219.0,2.3404441148401185
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1862.0,3.269979676645324
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,796.0,2.900913067737669
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,813.0,2.910090545594068
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,914.0,2.960946195733831
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,729.0,2.8627275283179747
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1066.0,3.0277572046905536
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,260.0,2.4149733479708178
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,744.0,2.8715729355458786
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,98.0,1.9912260756924949
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,614.0,2.788168371141168
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,197.0,2.294466226161593
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,718.0,2.8561244442423
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1147.0,3.0595634179012676
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,469.0,2.6711728427150834
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1011.0,3.004751155591001
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,207.0,2.315970345456918
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,634.0,2.802089257881733
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,234.0,2.369215857410143
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,411.0,2.6138418218760693
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,779.0,2.8915374576725643
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,417.0,2.6201360549737576
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1063.0,3.0265332645232967
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,324.0,2.510545010206612
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1145.0,3.0588054866759067
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,230.0,2.361727836017593
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,106.0,2.0253058652647704
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1147.0,3.0595634179012676
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,598.0,2.776701183988411
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,705.0,2.848189116991399
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,630.0,2.7993405494535817
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,236.0,2.3729120029701067
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,721.0,2.857935264719429
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,224.0,2.3502480183341627
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,93.0,1.968482948553935
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,752.0,2.876217840591642
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,721.0,2.857935264719429
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,987.0,2.9943171526696366
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,2102.0,3.3226327116922234
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1284.0,3.1085650237328344
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,486.0,2.6866362692622934
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,376.0,2.575187844927661
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1631.0,3.212453961040276
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,477.0,2.678518379040114
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,902.0,2.9552065375419416
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,342.0,2.534026106056135
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,142.0,2.1522883443830563
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,420.0,2.6232492903979003
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,273.0,2.436162647040756
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,235.0,2.3710678622717363
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,143.0,2.155336037465062
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,324.0,2.510545010206612
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,832.0,2.920123326290724
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,60.0,1.7781512503836436
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,385.0,2.5854607295085006
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,598.0,2.776701183988411
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,467.0,2.6693168805661123
